,num_reviews,orig_price,been_sale,rating_val,num_tags,num_genres,year_released
389,28264,39.99,0,8.0,20.0,2.0,2011.0
390,28109,59.99,0,7.0,20.0,3.0,2020.0
391,16476,29.99,0,8.0,11.0,2.0,2016.0
392,623,19.99,0,9.0,19.0,3.0,2021.0
393,3364,24.99,0,8.0,20.0,0.0,2015.0
395,18224,19.99,0,8.0,20.0,5.0,2020.0
396,19759,19.99,0,8.0,20.0,3.0,2021.0
397,272,19.99,0,8.0,16.0,5.0,2021.0
398,4682,29.99,1,7.0,20.0,3.0,2020.0
399,9146,14.99,0,9.0,20.0,0.0,2015.0
400,24481,29.99,0,8.0,20.0,6.0,2018.0
402,45302,29.99,0,8.0,20.0,3.0,2016.0
404,34801,19.99,0,8.0,20.0,4.0,2018.0
406,5511,29.99,0,8.0,20.0,3.0,2017.0
407,25191,69.99,0,8.0,20.0,5.0,2020.0
408,450,16.99,0,8.0,13.0,3.0,2018.0
409,13194,29.99,0,9.0,20.0,0.0,2015.0
410,5971,29.99,0,8.0,17.0,3.0,2015.0
411,22899,59.99,0,8.0,20.0,4.0,2020.0
412,13692,29.99,0,8.0,20.0,3.0,2014.0
413,26036,9.99,0,9.0,20.0,4.0,2015.0
414,23110,4.99,0,9.0,6.0,2.0,2017.0
415,82866,19.99,0,7.0,20.0,3.0,2020.0
417,42617,29.99,0,8.0,20.0,5.0,2018.0
418,13118,19.99,0,8.0,20.0,7.0,2016.0
419,91680,24.99,0,8.0,20.0,3.0,2016.0
420,17501,24.99,0,8.0,20.0,1.0,2020.0
421,65984,59.99,0,8.0,20.0,6.0,2016.0
422,1775,39.99,0,8.0,10.0,1.0,2020.0
423,24141,19.99,0,8.0,20.0,4.0,2020.0
425,2059,19.99,0,8.0,18.0,4.0,2020.0
427,2715,19.99,0,8.0,20.0,5.0,2019.0
428,86986,9.99,0,9.0,20.0,1.0,2007.0
429,1528,14.99,0,7.0,2.0,0.0,2016.0
430,18222,19.99,0,9.0,20.0,3.0,2016.0
431,4063,29.99,0,7.0,20.0,5.0,2021.0
432,4501,29.99,0,8.0,20.0,3.0,2020.0
434,174071,29.99,0,9.0,20.0,6.0,2010.0
435,11602,29.99,0,8.0,20.0,2.0,2016.0
436,6984,2.99,0,9.0,20.0,2.0,2016.0
438,1458,99.99,0,8.0,9.0,7.0,2017.0
440,236048,19.99,0,9.0,20.0,7.0,2012.0
441,33220,29.99,0,8.0,20.0,1.0,2019.0
442,1091,11.99,0,8.0,2.0,0.0,2019.0
443,1644,34.99,0,8.0,8.0,4.0,2019.0
444,6396,14.99,0,8.0,20.0,4.0,2016.0
445,381,17.99,0,3.0,20.0,6.0,2021.0
446,5380,19.99,0,8.0,16.0,3.0,2020.0
448,15706,19.99,0,8.0,20.0,5.0,2019.0
449,60221,24.99,0,8.0,20.0,2.0,2019.0
450,3002,39.99,1,8.0,16.0,3.0,2018.0
451,34217,7.99,0,8.0,20.0,1.0,2017.0
452,2790,19.99,0,9.0,15.0,6.0,2020.0
455,18071,4.99,0,7.0,20.0,3.0,2016.0
456,16871,14.99,1,9.0,20.0,4.0,2013.0
457,30040,14.99,0,7.0,20.0,3.0,2015.0
460,412,19.99,0,8.0,18.0,4.0,2020.0
461,4811,34.99,0,8.0,20.0,5.0,2020.0
464,3057,29.99,0,9.0,20.0,0.0,2017.0
465,34682,34.99,0,8.0,20.0,2.0,2018.0
467,22178,19.99,0,9.0,20.0,4.0,2010.0
468,6157,24.99,0,8.0,20.0,0.0,2020.0
469,121215,9.99,0,9.0,20.0,1.0,2004.0
472,10571,49.99,0,7.0,20.0,4.0,2018.0
473,585,19.99,0,7.0,6.0,3.0,2020.0
474,858,44.99,0,8.0,20.0,4.0,2020.0
475,1511,12.99,1,8.0,20.0,5.0,2020.0
477,98134,14.99,0,5.0,20.0,4.0,2017.0
478,10044,19.99,0,8.0,20.0,4.0,2020.0
479,7071,19.99,0,9.0,20.0,4.0,2020.0
480,40398,29.99,0,8.0,20.0,3.0,2017.0
482,17347,19.99,0,8.0,20.0,5.0,2017.0
484,25808,6.99,0,8.0,20.0,5.0,2020.0
486,23347,29.99,0,8.0,20.0,3.0,2016.0
488,2017,13.99,0,8.0,20.0,5.0,2020.0
489,8616,29.99,0,9.0,20.0,4.0,2020.0
491,19289,19.99,1,8.0,20.0,1.0,2015.0
492,100,149.99,0,8.0,3.0,3.0,2021.0
494,6932,29.99,0,9.0,20.0,4.0,2019.0
495,43677,9.99,0,8.0,20.0,4.0,2009.0
496,37857,29.99,0,5.0,20.0,6.0,2018.0
498,59056,59.99,0,8.0,20.0,2.0,2013.0
499,54811,29.99,0,8.0,20.0,5.0,2015.0
500,11649,49.99,0,7.0,20.0,5.0,2018.0
501,1208,29.99,1,8.0,8.0,0.0,2018.0
502,8125,19.99,0,9.0,20.0,2.0,2020.0
503,24543,49.99,0,8.0,20.0,6.0,2016.0
504,731,14.99,0,8.0,20.0,5.0,2020.0
505,19178,39.99,0,8.0,20.0,4.0,2015.0
506,8657,19.99,0,7.0,20.0,3.0,2015.0
507,99037,59.99,0,8.0,20.0,10.0,2018.0
508,117497,3.99,0,8.0,20.0,2.0,2014.0
512,613,12.99,0,9.0,20.0,6.0,2020.0
513,503,39.99,0,8.0,20.0,3.0,2020.0
514,2779,19.99,0,8.0,20.0,0.0,2016.0
515,6834,19.99,0,8.0,15.0,0.0,2019.0
516,1444,69.99,0,7.0,20.0,1.0,2020.0
518,8899,19.99,0,8.0,20.0,2.0,2009.0
519,2283,39.99,1,8.0,20.0,0.0,2017.0
521,26424,29.99,1,9.0,20.0,3.0,2015.0
522,2007,39.99,0,9.0,20.0,3.0,2020.0
525,724,24.99,0,7.0,20.0,6.0,2021.0
527,34837,29.99,0,8.0,20.0,4.0,2018.0
528,527,19.99,1,7.0,20.0,3.0,2021.0
529,14570,29.99,0,8.0,20.0,3.0,2018.0
530,6089,29.99,0,8.0,20.0,4.0,2020.0
531,25138,44.99,0,7.0,20.0,2.0,2015.0
532,53686,49.99,0,7.0,20.0,8.0,2017.0
533,62564,29.99,0,8.0,20.0,3.0,2018.0
534,10522,24.99,0,8.0,20.0,6.0,2020.0
536,31480,14.99,0,8.0,20.0,4.0,2016.0
537,29228,12.99,0,9.0,20.0,2.0,2015.0
538,3396,9.99,0,8.0,20.0,3.0,2014.0
539,959,19.99,0,9.0,20.0,4.0,2021.0
541,1127,19.99,1,5.0,6.0,2.0,2018.0
542,4483,39.99,0,5.0,20.0,2.0,2017.0
543,45936,49.99,0,8.0,20.0,4.0,2019.0
544,1525,14.99,0,8.0,20.0,3.0,2021.0
545,4039,59.99,0,5.0,20.0,4.0,2020.0
546,5055,49.99,1,7.0,20.0,0.0,2014.0
547,57218,14.99,0,9.0,20.0,4.0,2016.0
549,3624,39.99,0,9.0,17.0,3.0,2017.0
550,39337,14.99,0,8.0,20.0,2.0,2013.0
551,4274,49.99,0,8.0,20.0,2.0,2021.0
553,1475,9.99,0,9.0,20.0,6.0,2021.0
554,9122,14.99,0,7.0,20.0,5.0,2017.0
555,1757,29.99,0,7.0,20.0,3.0,2020.0
556,21493,19.99,0,7.0,20.0,2.0,2018.0
557,60103,39.99,0,5.0,20.0,4.0,2020.0
