title,owners,num_reviews,positive,negative,ratio,pos_percent,neg_percent,ccu,median_2weeks,median_forever,average_2weeks,average_forever,been_sale,orig_price,num_tags,num_genres,year_released,rating_val,num_followers,num_languages,has_meta,userscore,Singleplayer_tag,Indie_tag,Action_tag,Adventure_tag,Casual_tag,Strategy_tag,Multiplayer_tag,RPG_tag,Simulation_tag,Atmospheric_tag,Horror_tag,2D_tag,Soundtrack_tag,Great_tag,Story_tag,Rich_tag,World_tag,Shooter_tag,Puzzle_tag,TurnBased_tag,Open_tag,FirstPerson_tag,Survival_tag,Fantasy_tag,Funny_tag,Coop_tag,Platformer_tag,Early_tag,Access_tag,Sim_tag,Indie_genre,Action_genre,Adventure_genre,Casual_genre,Simulation_genre,Strategy_genre,RPG_genre,_genre,Early_genre,Access_genre,Games_genre,Sports_genre,Racing_genre,Studios_genre,Entertainment_genre,Massively_genre,Multiplayer_genre,Studio_genre,Interactive_genre,Inc_genre,Software_genre,Game_genre,Utilities_genre,Feral_genre,Ltd_genre,Mac_genre,Design_genre,Illustration_genre,Sokpop_genre,Collective_genre,Activision,BANDAI NAMCO Entertainment,Capcom,Devolver Digital,Disney,Electronic Arts,Paradox Interactive,SEGA,Sokpop Collective,Square Enix,THQ Nordic,Ubisoft,Winged Cloud,other,tinyBuild
Emily is Away Too,190999.99999999997,4400,4120,280,14.714285714285714,93.63636363636364,6.363636363636363,32,1,277,1,210,0,4.99,20.0,6.0,2017,9,13195.0,10,1,93.0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10 Miles To Safety,49000.0,698,538,160,3.3625,77.07736389684814,22.922636103151863,19,0,90,0,90,0,9.99,17.0,3.0,2020,7,8924.0,10,0,77.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lobotomy Corporation | Monster Management Simulation,633999.9999999998,12765,11925,840,14.196428571428571,93.41950646298473,6.580493537015276,1074,0,418,0,1459,0,24.99,20.0,3.0,2018,9,71215.0,17,0,93.0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MARDEK,5000.000000000004,147,143,4,35.75,97.27891156462584,2.7210884353741496,6,0,0,0,0,1,9.99,11.0,2.0,2020,9,542.0,10,0,97.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Party Hard 2,137000.00000000012,1585,1293,292,4.428082191780822,81.57728706624606,18.422712933753942,17,0,279,0,235,1,19.99,20.0,9.0,2018,9,23723.0,19,1,81.0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Disney Infinity 3.0: Gold Edition,31000.000000000022,534,450,84,5.357142857142857,84.26966292134831,15.730337078651685,36,0,16,0,16,0,29.99,6.0,3.0,2016,9,2345.0,15,0,84.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bug Fables: The Everlasting Sapling,51999.99999999997,2262,2228,34,65.52941176470588,98.49690539345711,1.5030946065428823,142,0,308,0,308,0,19.99,12.0,5.0,2019,10,6414.0,12,1,98.0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
E.Y.E: Divine Cybermancy,557999.9999999998,6442,5412,1030,5.254368932038835,84.0111766532133,15.988823346786713,31,0,258,0,492,0,9.99,20.0,3.0,2011,9,18203.0,11,0,84.0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Templar Battleforce,30000.000000000007,832,784,48,16.333333333333332,94.23076923076923,5.769230769230769,6,0,401,0,401,1,9.99,20.0,4.0,2015,9,12123.0,10,0,94.0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Stonehearth,501999.9999999997,10098,7682,2416,3.1796357615894038,76.07447019211725,23.925529807882747,251,0,2139,0,2186,0,19.99,20.0,3.0,2018,7,133140.0,10,0,76.0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yakuza 5 Remastered,39999.99999999997,846,761,85,8.952941176470588,89.95271867612293,10.047281323877069,437,0,1736,0,1736,0,19.99,19.0,3.0,2021,9,4923.0,13,0,90.0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chess Ultra,126000.00000000007,1065,809,256,3.16015625,75.96244131455398,24.037558685446008,37,0,165,0,133,0,12.99,12.0,0.0,2017,7,5427.0,17,0,75.0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Totally Reliable Delivery Service,34000.00000000003,168,124,44,2.8181818181818183,73.80952380952381,26.190476190476193,16,0,0,0,0,0,14.99,20.0,6.0,2021,6,12125.0,19,1,73.0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Survivalist: Invisible Strain,80999.99999999994,1569,1387,182,7.6208791208791204,88.40025493945188,11.59974506054812,301,0,23,0,23,1,6.99,20.0,8.0,2020,9,12087.0,16,0,88.0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sniper Elite V2 Remastered,147999.9999999999,1298,885,413,2.142857142857143,68.18181818181817,31.818181818181817,43,0,156,0,135,0,9.99,16.0,2.0,2019,6,9307.0,19,1,68.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
