,title,num_reviews,review_rating,num_languages,tags,num_tags,genres,num_genres,publisher
12998,1 Moment Of Time: Silentville,,Mostly Positive,10,"['Adventure', 'Indie', 'Hidden Object', 'Point & Click', 'Puzzle', 'Casual', 'Mystery', 'Investigation']",8.0,"['Adventure', 'Indie']",2.0,Jetdogs Studios
12999,DOA6 Seaside Eden Costume - Raidou,,,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
13000,Dark Aurora Pack,,Mixed,8,['RPG'],1.0,['RPG'],1.0,Ubisoft
13001,Jolly Good: Cakes and Ale — An Extra Helping,,2 user reviews,,"['RPG', 'Indie']",2.0,"['Indie', 'RPG']",2.0,Choice of Games
13002,DOA6 Seaside Eden Costume - Hayate,,,10,"['Action', 'Gore', 'Violent', 'Nudity', 'Sexual Content']",5.0,['Action'],1.0,"KOEI TECMO GAMES CO., LTD."
13003,Hyperdevotion Noire: Ultimate Event Full Unlock,,1 user reviews,,['Strategy'],1.0,"['Strategy', 'Idea Factory', 'Compile Heart', 'Sting', 'Idea Factory International']",5.0,Idea Factory International
13004,Close Encounter VR,25,Mixed,,"['Adventure', 'Casual', 'VR', 'Experience', 'Indie']",5.0,[],0.0,Wolf Tango Games
13005,DiRT Rally 2.0 - Lancia 037 Evo 2,,8 user reviews,8,"['Simulation', 'Racing', 'Sports']",3.0,"['Racing', 'Simulation', 'Sports', 'Codemasters']",4.0,Codemasters
13006,FEMINAZI: The Triggering,,Very Positive,,"['Memes', 'Indie', 'Casual', 'Action', 'Simulation', 'Singleplayer', 'Character Customization', 'Arcade', 'Psychological Horror', 'Cartoony', 'GameMaker', 'Great Soundtrack', 'Funny', 'Illuminati', 'Cartoon', 'Nudity', 'Pixel Graphics', 'Soundtrack', 'Story Rich', 'Education']",20.0,"['Action', 'Casual', 'Indie', 'Simulation', 'hyperboreanGames']",5.0,Back To Basics Gaming
13007,그 어느 여름날의 이야기,,Positive,,"['Simulation', 'Visual Novel', 'Dating Sim', '2D', 'Anime', 'Multiple Endings', 'Drama', 'Colorful', 'Cute', 'Indie', 'Comedy', 'Singleplayer', 'Magic']",13.0,"['Indie', 'Simulation']",2.0,유진게임즈
